Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,CoachesVotes,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 27,20262701,Oliver Henry,140a17c,Geelong,Geel,images/afl_logos/Geel-40.png,2.1,4.3,11.9,4.9,23.2,6.96,0.2,21.5,12.8,9.3,NA,139,106,81,11,9,20,65,386,115,3,4,2,18,0,13,8,12,7,3,1,5,1,0,0,0,1,0,0,0,7,5,1,23.4,7.6,0,8,0
2026,Round 27,20262701,Luke Jackson,14093f7,Fremantle,Frem,images/afl_logos/Frem-40.png,7.1,3,9.9,0.5,20.6,14.7,12.2,3,11.3,1.1,NA,156,124,82,6,19,25,68,140,280,0,1,4,13,0,15,11,6,5,8,3,2,1,0,84,8,8,71,35,9,3,2,0,10.4,1.6,1,12,10
2026,Round 27,20262701,Caleb Serong,140940c,Fremantle,Frem,images/afl_logos/Frem-40.png,8,2.8,2.7,5,18.5,13.76,5.2,11.2,6.6,9.4,NA,109,87,74,12,11,23,69.6,430,236,4,3,5,14,0,11,8,5,4,12,5,1,0,1,65,6,6,0,0,0,1,1,0,1.8,4.2,2,7,2
2026,Round 27,20262701,Hayden Young,1409368,Fremantle,Frem,images/afl_logos/Frem-40.png,2.6,9.6,1.7,3.7,17.7,11.11,11,1.8,7.7,5.1,NA,97,96,66,14,9,23,65.2,556,119,9,5,4,16,0,12,7,4,3,6,4,4,1,1,51,6,8,0,0,0,2,1,1,4,3,0,6,3
2026,Round 27,20262701,Shai Bolton,2daf49,Fremantle,Frem,images/afl_logos/Frem-40.png,6.8,2.2,2.5,4,15.6,11.51,1.3,12.4,3.3,10.3,NA,122,120,80,14,12,26,73.1,541,218,7,4,8,18,0,5,2,1,1,15,1,3,0,0,65,4,3,0,0,0,2,2,0,6.2,5.8,1,10,1
2026,Round 27,20262701,Josh Treacy,140a153,Fremantle,Frem,images/afl_logos/Frem-40.png,2,3.7,5.4,4.3,15.3,10.23,0,14.2,10.3,4.3,NA,110,82,91,10,3,13,76.9,418,28,6,1,4,8,0,9,2,9,2,3,2,8,3,0,0,0,0,0,0,0,3,1,1,5.5,1.5,2,7,0
2026,Round 27,20262701,Jordan Clark,1408748,Fremantle,Frem,images/afl_logos/Frem-40.png,5.1,4.9,0.1,4.8,14.9,10.13,3.4,9.5,5.1,7.8,NA,100,79,83,14,11,25,88,623,284,6,5,3,9,3,6,6,3,3,11,5,1,0,1,0,2,2,0,0,0,0,0,0,0,0,1,5,1
2026,Round 27,20262701,Matthew Johnson,140b0f9,Fremantle,Frem,images/afl_logos/Frem-40.png,5.2,1.3,2.1,6.1,14.7,9.67,2.2,10.6,4,6.5,NA,67,54,79,5,10,15,93.3,297,196,3,2,2,14,0,6,5,4,4,6,4,3,0,0,8,1,1,0,0,0,0,0,0,0,0,1,5,2
2026,Round 27,20262701,Patrick Voss,140b49a,Fremantle,Frem,images/afl_logos/Frem-40.png,6.7,3.4,1.9,2.7,14.7,7.74,0,11.3,7.1,4.8,NA,81,75,89,9,3,12,66.7,291,-2,2,5,1,8,0,6,3,6,3,2,0,5,2,0,0,0,0,0,0,0,6,4,1,22,3,0,8,0
2026,Round 27,20262701,Zach Guthrie,1408246,Geelong,Geel,images/afl_logos/Geel-40.png,3.7,4.1,3.6,2.8,14.2,7.75,0.6,14.7,7.8,4.8,NA,87,71,76,14,4,18,88.9,392,235,3,3,0,4,1,5,4,4,3,4,8,7,1,5,0,1,1,0,0,0,0,0,0,0,0,1,3,2
2026,Round 27,20262701,Jack Henry,14072e9,Geelong,Geel,images/afl_logos/Geel-40.png,2,4.4,4,2.7,13.1,7.05,0,11.9,5.6,0.3,NA,61,32,95,4,6,10,70,93,201,0,2,2,6,0,7,4,7,4,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 27,20262701,Patrick Dangerfield,22a6c5,Geelong,Geel,images/afl_logos/Geel-40.png,4,2.8,6.4,-0.1,13,9.81,-0.2,8.3,6,4.9,NA,100,83,89,7,7,14,64.3,263,103,4,1,7,20,0,6,5,5,4,7,2,3,1,0,5,0,1,0,0,0,5,2,2,14.1,-0.1,2,9,2
2026,Round 27,20262701,Neil Erasmus,140be5a,Fremantle,Frem,images/afl_logos/Frem-40.png,3.1,4.8,2.6,2.5,12.9,8.79,2.6,8.3,2.9,8,NA,62,59,75,8,9,17,70.6,247,182,3,1,2,12,0,7,5,2,2,4,2,3,0,0,0,3,5,0,0,0,1,0,0,2.6,-2.6,0,6,0
